ID,birthdate,sex_at_birth,country,environment,SES
P02740,1994-06-27,Female,United States,Urban,medium
P02741,1993-04-27,Male,Egypt,Urban,medium
P02742,1990-01-14,Male,New Zealand,Rural,medium
P02743,2005-02-25,Male,Egypt,Rural,medium
P02744,1995-07-21,Female,South Africa,Urban,medium
P02745,1996-10-28,Male,Egypt,Urban,medium
P02746,1986-02-09,Male,United Kingdom,Urban,low
P02747,1983-09-10,Male,Australia,Rural,medium
P02748,1989-08-21,Male,United Kingdom,Urban,low
P02749,2004-06-13,Female,Colombia,Urban,low
P02750,2006-10-08,Male,South Africa,Rural,low
P02751,2008-01-02,Male,Mexico,Urban,high
P02752,1987-05-14,Male,Mexico,Rural,medium
P02753,1996-07-14,Female,Australia,Urban,medium
P02754,1989-12-03,Female,Brazil,Urban,medium
P02755,1994-07-22,Female,Brazil,Rural,medium
P02756,1983-05-12,Male,Nigeria,Urban,medium
P02757,2008-12-20,Female,Canada,Urban,high
P02758,1999-08-26,Male,South Africa,Urban,high
P02759,2002-10-08,Male,Colombia,Urban,medium
P02760,1990-12-31,Female,Egypt,Urban,low
P02761,2002-08-13,Male,Australia,Rural,low
P02762,1999-07-20,Male,Canada,Rural,low
P02763,1994-12-19,Female,Canada,Urban,low
P02764,1988-05-17,Male,Brazil,Urban,high
P02765,1997-01-11,Male,Nigeria,Urban,low
P02766,2000-08-09,Female,Japan,Urban,medium
P02767,2000-09-15,Male,New Zealand,Urban,high
P02768,1993-12-31,Male,Canada,Urban,high
P02769,1981-10-13,Male,Nigeria,Urban,medium
P02770,1982-10-11,Female,China,Urban,medium
P02771,1986-11-24,Female,United Kingdom,Urban,low
P02772,1982-09-08,Male,United Kingdom,Urban,high
P02773,1996-08-14,Female,Fiji,Urban,low
P02774,1985-01-29,Male,Australia,Urban,medium
P02775,1999-08-11,Female,Nigeria,Urban,medium
P02776,1984-01-16,Male,Japan,Urban,high
P02777,2003-04-18,Female,Canada,Rural,low
P02778,1983-12-13,Male,Canada,Urban,high
P02779,1999-07-16,Female,China,Rural,high
P02780,2005-04-04,Male,New Zealand,Rural,medium
P02781,2007-09-02,Male,India,Urban,medium
P02782,2003-02-04,Male,Mexico,Urban,medium
P02783,1997-08-12,Male,Nigeria,Urban,high
P02784,1995-06-03,Female,Argentina,Urban,low
P02785,1992-05-06,Male,Brazil,Rural,medium
P02786,2006-08-29,Female,Egypt,Rural,low
P02787,1991-11-06,Male,Germany,Urban,low
P02788,2005-08-22,Female,Brazil,Urban,low
P02789,2001-08-27,Female,Fiji,Rural,low
P02790,2003-08-07,Female,United States,Urban,medium
P02791,2005-03-29,Male,Brazil,Urban,medium
P02792,2006-06-11,Female,Brazil,Urban,low
P02793,1988-04-30,Male,Argentina,Urban,medium
P02794,2002-07-01,Male,South Africa,Rural,medium
P02795,2001-10-03,Female,Argentina,Urban,low
P02796,1991-09-03,Female,Germany,Urban,medium
P02797,1990-03-07,Male,Australia,Rural,medium
P02798,1996-09-24,Male,Brazil,Urban,high
P02799,2004-07-21,Male,Germany,Rural,medium
P02800,1989-05-04,Female,Argentina,Urban,low
P02801,1989-12-15,Male,Mexico,Urban,low
P02802,1994-04-27,Female,Japan,Rural,high
P02803,2008-02-14,Female,Brazil,Urban,low
P02804,1985-06-25,Male,Fiji,Rural,low
P02805,2008-05-23,Female,Canada,Urban,high
P02806,2007-07-24,Female,China,Urban,low
P02807,1998-02-14,Male,Australia,Urban,medium
P02808,1997-04-17,Female,China,Urban,low
P02809,2007-11-23,Male,China,Rural,high
P02810,2004-03-22,Female,Mexico,Urban,high
P02811,1987-12-11,Male,Canada,Urban,low
P02812,1992-06-06,Female,Germany,Urban,high
P02813,2006-05-05,Male,Colombia,Urban,high
P02814,1999-07-06,Female,China,Urban,medium
P02815,2001-10-02,Female,New Zealand,Urban,low
P02816,1990-01-29,Male,Nigeria,Urban,low
P02817,1989-03-24,Male,China,Rural,medium
P02818,1981-09-30,Male,Mexico,Urban,low
P02819,1985-04-01,Male,Colombia,Urban,medium
P02820,1987-10-24,Female,Fiji,Rural,high
P02821,1992-02-17,Female,India,Urban,medium
P02822,1984-06-25,Female,China,Rural,high
P02823,2002-11-03,Male,Argentina,Urban,high
P02824,1989-09-24,Female,Mexico,Urban,high
P02825,1984-09-30,Male,Brazil,Urban,high
P02826,1992-11-05,Female,United States,Urban,low
P02827,1986-04-09,Female,India,Urban,medium
P02828,1998-06-26,Female,Canada,Urban,high
P02829,2006-05-12,Male,South Africa,Urban,medium
P02830,2002-01-05,Male,Germany,Urban,medium
P02831,2006-11-09,Male,Germany,Urban,medium
P02832,1987-07-25,Female,Canada,Urban,medium
P02833,1988-12-18,Female,France,Rural,high
P02834,2008-02-16,Male,Germany,Rural,medium
P02835,1987-04-19,Male,India,Urban,low
P02836,1998-12-28,Female,Australia,Rural,medium
P02837,1985-09-16,Female,Australia,Urban,low
P02838,1983-07-31,Male,Japan,Rural,high
P02839,1992-03-28,Female,Mexico,Urban,low
P02840,2002-10-04,Female,France,Urban,medium
P02841,1998-09-07,Male,France,Urban,high
P02842,2000-10-09,Male,France,Urban,medium
P02843,1982-07-12,Female,Mexico,Urban,low
P02844,2003-10-19,Female,Japan,Rural,low
P02845,1994-06-04,Male,Egypt,Urban,medium
P02846,2002-10-18,Male,Egypt,Urban,high
P02847,1988-12-01,Female,Canada,Urban,medium
P02848,1989-08-23,Female,New Zealand,Urban,medium
P02849,2005-12-12,Male,Canada,Urban,low
P02850,1998-08-14,Male,New Zealand,Urban,low
P02851,2008-04-18,Male,China,Urban,low
P02852,2007-01-20,Female,China,Urban,medium
P02853,2005-07-27,Female,Egypt,Rural,high
P02854,1990-02-16,Female,Australia,Urban,medium
P02855,1988-08-02,Female,Brazil,Urban,medium
P02856,2007-01-12,Female,India,Rural,medium
P02857,1993-09-30,Male,India,Rural,medium
P02858,1996-03-24,Female,Fiji,Urban,low
P02859,2008-05-25,Male,Brazil,Urban,medium
P02860,1986-06-11,Male,France,Urban,low
P02861,2008-07-15,Male,United Kingdom,Rural,low
P02862,1986-02-22,Female,Nigeria,Rural,low
P02863,1985-08-18,Female,India,Rural,low
P02864,1996-11-03,Female,Nigeria,Urban,low
P02865,1984-03-10,Female,United States,Urban,high
P02866,1990-05-12,Female,Australia,Urban,high
P02867,1999-05-20,Female,Fiji,Rural,low
P02868,2000-08-18,Female,Japan,Rural,high
P02869,2005-11-15,Female,New Zealand,Urban,high
P02870,1991-11-11,Female,Fiji,Urban,medium
P02871,1987-03-02,Male,United States,Urban,high
P02872,1990-10-12,Male,Canada,Urban,high
P02873,1991-03-24,Male,Brazil,Urban,medium
P02874,2008-02-26,Male,Mexico,Urban,low
P02875,2004-02-20,Female,Nigeria,Urban,medium
P02876,2007-10-22,Male,Germany,Urban,low
P02877,1996-12-21,Male,Fiji,Rural,medium
P02878,2003-05-02,Female,Nigeria,Urban,medium
P02879,1984-02-22,Male,Mexico,Rural,medium
P02880,1997-09-16,Female,Brazil,Urban,low
P02881,1991-05-26,Male,Colombia,Urban,low
P02882,1988-05-04,Female,Nigeria,Rural,medium
P02883,2004-01-16,Female,Japan,Urban,medium
P02884,1994-07-09,Female,New Zealand,Urban,medium
P02885,1993-02-14,Male,Fiji,Rural,high
P02886,1986-03-10,Male,United Kingdom,Rural,medium
P02887,1995-02-15,Male,France,Urban,high
P02888,2003-05-05,Female,Colombia,Rural,medium
P02889,2006-02-15,Female,Brazil,Urban,low
P02890,1987-03-06,Female,France,Urban,low
P02891,1986-01-31,Female,Nigeria,Urban,medium
P02892,1987-10-31,Female,Fiji,Urban,low
P02893,1997-03-05,Female,Colombia,Rural,high
P02894,1990-07-29,Male,France,Urban,low
P02895,2004-02-27,Female,Germany,Rural,medium
P02896,2004-11-14,Male,Argentina,Rural,high
P02897,1984-12-02,Female,Japan,Urban,high
P02898,2004-09-07,Male,New Zealand,Urban,low
P02899,2004-12-18,Female,South Africa,Urban,high
P02900,2008-10-12,Female,South Africa,Urban,medium
P02901,2002-09-11,Female,France,Urban,medium
P02902,1989-06-27,Male,Colombia,Rural,high
P02903,1997-03-22,Male,Mexico,Urban,medium
P02904,1986-04-23,Male,Fiji,Rural,low
P02905,1996-10-02,Female,United States,Rural,high
P02906,1997-06-07,Female,India,Rural,high
P02907,1993-09-13,Female,United Kingdom,Urban,medium
P02908,1986-05-29,Male,Fiji,Rural,medium
P02909,1987-11-15,Female,Mexico,Urban,medium
P02910,2004-10-28,Female,Germany,Rural,low
P02911,1982-05-04,Male,Japan,Urban,low
P02912,1981-09-30,Female,Brazil,Urban,medium
P02913,2003-04-14,Male,Fiji,Urban,medium
P02914,1999-01-01,Male,Nigeria,Urban,medium
P02915,1984-08-06,Male,Colombia,Urban,medium
P02916,1987-06-06,Female,Australia,Urban,high
P02917,1983-04-27,Male,France,Urban,medium
P02918,2008-10-10,Female,Egypt,Urban,medium
P02919,2008-06-06,Male,South Africa,Urban,medium
P02920,1984-07-25,Male,Japan,Rural,medium
P02921,1982-11-21,Male,France,Rural,medium
P02922,1995-08-24,Male,Egypt,Urban,medium
P02923,1990-03-19,Male,China,Rural,low
P02924,1999-02-27,Female,Brazil,Urban,low
P02925,1993-03-16,Female,Colombia,Urban,medium
P02926,1989-09-07,Female,France,Rural,low
P02927,1982-05-29,Female,Fiji,Urban,medium
P02928,1988-08-19,Male,Brazil,Urban,medium
P02929,1996-10-10,Male,Colombia,Urban,medium
P02930,1987-03-31,Female,Canada,Urban,high
P02931,1982-11-05,Male,Fiji,Urban,low
P02932,1983-08-02,Male,Canada,Rural,medium
P02933,2002-12-19,Male,Nigeria,Urban,low
P02934,2005-08-06,Female,Nigeria,Rural,low
P02935,1990-09-29,Female,China,Urban,medium
P02936,1991-02-05,Male,Nigeria,Urban,high
P02937,1998-12-22,Male,South Africa,Urban,medium
P02938,1996-05-19,Female,Brazil,Urban,low
P02939,1981-06-10,Female,Mexico,Rural,medium
P02940,1982-06-16,Female,Mexico,Urban,high
P02941,1991-08-20,Female,Fiji,Rural,low
P02942,1992-06-27,Male,Canada,Urban,medium
P02943,1983-02-05,Male,New Zealand,Rural,low
P02944,2006-09-26,Female,Colombia,Urban,medium
P02945,2008-01-03,Female,Germany,Urban,medium
P02946,1985-07-03,Female,Fiji,Urban,low
P02947,2008-04-21,Female,United Kingdom,Urban,medium
P02948,1981-03-01,Female,Mexico,Rural,medium
P02949,1986-07-02,Male,Australia,Urban,medium
P02950,1996-10-24,Male,Germany,Rural,medium
P02951,2003-07-06,Male,Colombia,Urban,low
P02952,2003-12-19,Male,Canada,Urban,high
P02953,2007-02-11,Female,New Zealand,Urban,low
P02954,1983-07-17,Male,Fiji,Urban,high
P02955,1993-03-20,Female,Egypt,Rural,medium
P02956,2000-04-02,Female,Japan,Urban,medium
P02957,1993-02-13,Male,India,Rural,medium
P02958,1998-12-08,Male,Fiji,Urban,medium
P02959,1983-09-19,Female,Nigeria,Rural,low
P02960,1984-06-07,Female,Fiji,Urban,medium
P02961,2000-07-11,Female,Germany,Urban,high
P02962,1992-02-11,Male,Canada,Urban,medium
P02963,1992-05-30,Male,United States,Urban,medium
P02964,2003-07-19,Female,India,Urban,low
P02965,1983-03-25,Female,Nigeria,Urban,medium
P02966,2005-07-17,Male,Canada,Urban,medium
P02967,1992-05-13,Male,Brazil,Urban,low
P02968,1995-04-23,Male,United States,Rural,medium
P02969,1989-01-02,Female,United States,Urban,medium
P02970,1987-01-18,Male,United States,Rural,high
P02971,1986-12-19,Male,India,Rural,low
P02972,2007-08-27,Male,New Zealand,Urban,high
P02973,1987-05-30,Female,Argentina,Rural,medium
P02974,1985-05-08,Male,Germany,Urban,medium
P02975,1998-05-23,Male,Nigeria,Rural,low
P02976,2001-08-01,Female,United Kingdom,Urban,medium
P02977,2001-12-21,Male,Fiji,Rural,high
P02978,2004-09-25,Male,India,Urban,medium
P02979,1988-07-30,Male,Germany,Urban,medium
P02980,1984-03-23,Female,Argentina,Urban,low
P02981,1995-02-20,Male,Mexico,Urban,medium
P02982,2003-07-14,Female,South Africa,Urban,low
P02983,2002-09-01,Female,Argentina,Rural,low
P02984,1987-11-25,Male,France,Urban,medium
P02985,2000-07-28,Female,Germany,Urban,medium
P02986,1990-05-17,Female,Germany,Urban,low
P02987,1990-10-05,Male,Brazil,Rural,medium
P02988,2007-08-16,Male,United States,Urban,high
P02989,2000-03-06,Female,India,Urban,medium
P02990,2002-03-13,Male,Argentina,Rural,low
P02991,1991-01-14,Male,United States,Urban,medium
P02992,1984-05-14,Female,Canada,Urban,low
P02993,1985-02-16,Male,Fiji,Rural,high
P02994,1985-04-21,Female,New Zealand,Urban,medium
P02995,1985-01-16,Male,Egypt,Urban,medium
P02996,1989-07-22,Female,Fiji,Urban,low
P02997,2008-08-18,Female,Japan,Rural,high
P02998,2007-03-28,Male,India,Urban,low
P02999,1992-06-16,Female,Nigeria,Rural,medium
P03000,1991-09-27,Male,Egypt,Urban,high
P03001,2000-12-26,Female,Mexico,Rural,low
P03002,1993-05-02,Female,Egypt,Urban,medium
P03003,1983-06-09,Male,United Kingdom,Rural,medium
P03004,2006-06-05,Female,South Africa,Rural,medium
P03005,1988-09-23,Female,New Zealand,Rural,medium
P03006,2007-05-21,Male,United States,Rural,medium
P03007,1993-02-16,Male,India,Urban,medium
P03008,2005-04-20,Male,France,Rural,low
P03009,2004-01-25,Female,India,Urban,high
P03010,1994-08-30,Male,Colombia,Rural,medium
P03011,2005-11-10,Female,France,Urban,medium
P03012,1990-12-23,Male,Canada,Rural,medium
P03013,1987-12-03,Female,China,Rural,medium
P03014,2007-05-15,Male,Japan,Urban,high
P03015,1998-06-12,Male,New Zealand,Urban,medium
P03016,2004-01-20,Female,Germany,Rural,low
P03017,1986-01-03,Female,Brazil,Urban,high
P03018,2007-12-13,Female,Canada,Urban,medium
P03019,2003-04-07,Male,South Africa,Urban,low
P03020,2003-09-19,Female,United Kingdom,Urban,high
P03021,1992-09-23,Male,Fiji,Urban,medium
P03022,1997-04-02,Male,Australia,Urban,low
P03023,1997-06-15,Female,Argentina,Urban,low
P03024,2002-09-24,Female,Colombia,Urban,medium
P03025,2001-07-23,Female,China,Urban,low
P03026,1988-11-10,Male,Nigeria,Urban,low
P03027,1995-07-09,Male,Canada,Urban,medium
P03028,2002-04-03,Male,India,Urban,high
P03029,2007-07-24,Male,Mexico,Rural,medium
P03030,2005-06-29,Male,Mexico,Urban,medium
P03031,2005-02-21,Female,United Kingdom,Rural,low
P03032,1994-01-15,Female,Germany,Urban,low
P03033,2007-04-01,Female,Japan,Urban,medium
P03034,1988-12-02,Female,China,Rural,low
P03035,1983-12-08,Male,New Zealand,Rural,medium
P03036,1981-10-15,Male,France,Urban,medium
P03037,1981-04-14,Female,Brazil,Urban,medium
P03038,1988-12-28,Female,Argentina,Rural,medium
P03039,1982-02-18,Female,Canada,Rural,medium
P03040,1982-11-21,Male,Nigeria,Urban,high
P03041,2007-01-08,Female,Mexico,Rural,high
P03042,1984-10-22,Male,France,Urban,low
P03043,2007-02-03,Female,France,Urban,medium
P03044,2005-05-15,Female,New Zealand,Urban,high
P03045,1983-08-28,Male,New Zealand,Urban,low
P03046,1995-07-21,Male,South Africa,Rural,high
P03047,1992-09-20,Male,Egypt,Rural,high
P03048,1995-06-02,Male,Nigeria,Rural,medium
P03049,2005-05-26,Male,China,Urban,medium
P03050,1989-01-02,Female,China,Urban,medium
P03051,2003-05-07,Male,Canada,Rural,medium
P03052,1997-08-08,Male,Colombia,Urban,low
P03053,1998-08-23,Male,Canada,Urban,medium
P03054,1984-12-06,Female,Japan,Urban,low
P03055,1994-01-26,Male,Germany,Rural,medium
P03056,2003-12-09,Female,France,Urban,high
P03057,1992-12-03,Female,Egypt,Urban,medium
P03058,2006-10-16,Female,Brazil,Urban,medium
P03059,1993-09-03,Female,China,Urban,medium
P03060,2003-02-25,Female,Colombia,Urban,high
P03061,1982-06-08,Female,Egypt,Urban,medium
P03062,2000-04-19,Female,Canada,Rural,low
P03063,1994-11-13,Male,Canada,Rural,medium
P03064,1992-01-09,Male,Fiji,Urban,medium
P03065,1991-12-16,Female,Australia,Urban,medium
P03066,1995-09-09,Male,India,Rural,high
P03067,1988-01-16,Female,Australia,Urban,high
P03068,1981-11-18,Male,Mexico,Urban,high
P03069,1987-03-08,Male,Nigeria,Urban,medium
P03070,2000-10-10,Female,Brazil,Urban,low
P03071,2006-11-28,Male,United States,Urban,low
P03072,2006-05-23,Female,Japan,Urban,medium
P03073,1986-04-09,Male,Egypt,Rural,medium
P03074,1999-06-29,Male,Japan,Urban,medium
P03075,2006-12-26,Female,Fiji,Rural,low
P03076,2004-09-24,Female,Argentina,Urban,medium
P03077,1988-11-24,Female,Brazil,Urban,high
P03078,1988-01-12,Female,Brazil,Rural,low
P03079,1986-09-14,Male,Argentina,Urban,high
P03080,1994-07-27,Female,Fiji,Urban,medium
P03081,1987-12-29,Male,Brazil,Rural,medium
P03082,1987-04-18,Male,Argentina,Rural,low
P03083,2005-04-01,Female,Japan,Urban,high
P03084,2004-08-29,Female,Canada,Urban,low
P03085,1981-01-26,Female,Germany,Urban,medium
P03086,1991-08-26,Female,France,Urban,low
P03087,1989-06-22,Male,Canada,Urban,low
P03088,2001-04-30,Female,Nigeria,Urban,medium
P03089,2005-02-19,Female,United States,Rural,high
P03090,2002-02-05,Female,Japan,Urban,low
P03091,1984-09-08,Male,France,Urban,medium
P03092,1981-03-24,Male,China,Urban,medium
P03093,2008-11-07,Male,United States,Urban,medium
P03094,2006-10-18,Female,Australia,Rural,low
P03095,1992-06-19,Male,France,Urban,medium
P03096,1992-07-31,Female,Mexico,Rural,low
P03097,1995-03-08,Female,India,Urban,medium
P03098,1989-01-21,Female,United States,Urban,medium
P03099,2006-08-06,Male,Brazil,Urban,low
P03100,1992-08-18,Female,Japan,Rural,medium
P03101,1997-06-09,Male,New Zealand,Rural,high
P03102,2006-03-13,Female,Egypt,Rural,medium
P03103,1992-06-30,Male,Canada,Urban,medium
P03104,2001-07-14,Male,Fiji,Urban,medium
P03105,1989-03-01,Male,India,Urban,medium
P03106,2000-06-06,Female,Nigeria,Rural,medium
P03107,1991-12-21,Female,Australia,Urban,medium
P03108,1996-06-12,Female,Mexico,Urban,medium
P03109,1999-06-13,Female,United States,Rural,medium
P03110,1999-08-01,Female,Germany,Rural,medium
P03111,2007-09-11,Female,Canada,Urban,low
P03112,1982-04-24,Female,Nigeria,Rural,medium
P03113,1990-08-27,Female,China,Urban,medium
P03114,1991-12-09,Female,South Africa,Urban,medium
P03115,1997-05-04,Male,France,Urban,medium
P03116,2008-11-19,Female,Canada,Urban,medium
P03117,1985-05-27,Male,Fiji,Urban,low
P03118,2008-04-19,Male,Germany,Urban,medium
P03119,1985-11-27,Female,France,Urban,low
P03120,1987-11-19,Male,Fiji,Urban,low
P03121,1985-04-02,Male,China,Urban,medium
P03122,1981-04-23,Male,Fiji,Urban,medium
P03123,2008-10-13,Female,Japan,Rural,low
P03124,1991-09-26,Female,South Africa,Rural,low
P03125,1986-04-05,Female,Egypt,Urban,low
P03126,2005-03-17,Male,Australia,Urban,low
P03127,1992-01-14,Female,United Kingdom,Urban,low
P03128,2008-05-03,Male,Mexico,Urban,low
P03129,1987-09-01,Female,Fiji,Urban,low
P03130,1999-03-01,Female,Brazil,Rural,low
P03131,2000-12-10,Female,Germany,Urban,high
P03132,1985-08-07,Female,Japan,Urban,medium
P03133,2007-06-09,Male,India,Urban,medium
P03134,1994-09-09,Male,Australia,Rural,high
P03135,2003-03-02,Male,Nigeria,Rural,medium
P03136,1986-06-30,Male,Colombia,Urban,low
P03137,1986-04-05,Female,Brazil,Urban,low
P03138,1997-10-23,Female,Canada,Rural,medium
P03139,1986-10-11,Male,Australia,Rural,low
P03140,2007-08-08,Male,Canada,Urban,low
P03141,1983-08-02,Female,New Zealand,Urban,medium
P03142,2004-06-09,Female,Egypt,Urban,medium
P03143,1989-11-21,Male,Canada,Urban,medium
P03144,1998-12-29,Male,Australia,Rural,medium
P03145,1996-10-14,Male,China,Urban,high
P03146,2008-11-28,Female,Colombia,Urban,medium
P03147,1985-08-11,Female,Japan,Urban,low
P03148,1994-09-08,Male,Australia,Urban,high
P03149,1999-07-26,Female,Brazil,Rural,high
P03150,1982-09-24,Female,Japan,Urban,medium
P03151,2001-11-07,Male,France,Urban,low
P03152,2001-03-10,Female,Australia,Rural,low
P03153,2005-04-28,Female,France,Urban,medium
P03154,1996-08-21,Female,Fiji,Urban,medium
P03155,1981-06-03,Female,Argentina,Urban,low
P03156,1994-06-18,Male,Brazil,Urban,medium
P03157,2006-10-02,Female,South Africa,Rural,low
P03158,1995-02-19,Female,India,Urban,low
P03159,2005-09-12,Female,Japan,Urban,medium
P03160,2004-06-27,Male,France,Urban,low
P03161,1991-03-13,Male,United States,Urban,high
P03162,1983-06-06,Female,Colombia,Urban,medium
P03163,1983-06-12,Male,France,Rural,low
P03164,1989-03-31,Male,United Kingdom,Urban,low
P03165,1983-12-27,Female,Colombia,Rural,medium
P03166,1983-05-28,Female,South Africa,Urban,low
P03167,1986-06-25,Male,Canada,Rural,low
P03168,1983-02-26,Male,Egypt,Rural,medium
P03169,2005-09-23,Female,India,Urban,medium
P03170,2005-09-11,Male,Germany,Urban,high
P03171,2002-07-02,Male,Egypt,Urban,medium
P03172,1987-05-09,Male,Argentina,Urban,medium
P03173,1998-02-17,Male,Canada,Rural,low
P03174,1997-08-19,Female,United Kingdom,Urban,medium
P03175,1983-02-12,Female,New Zealand,Urban,low
P03176,2000-06-10,Male,Egypt,Rural,medium
P03177,2008-04-24,Female,Fiji,Urban,medium
P03178,2004-12-31,Male,Canada,Rural,medium
P03179,1984-05-26,Female,Australia,Rural,low
P03180,1987-12-04,Female,New Zealand,Urban,medium
P03181,1999-08-24,Female,Japan,Rural,medium
P03182,2000-12-28,Female,Germany,Rural,high
P03183,1985-05-12,Male,Mexico,Urban,high
P03184,1984-08-07,Male,Japan,Urban,low
P03185,1996-04-04,Female,Colombia,Urban,medium
P03186,1992-02-01,Male,Germany,Rural,medium
P03187,1984-12-05,Male,China,Urban,low
P03188,2000-08-14,Female,Canada,Rural,medium
P03189,1988-12-01,Male,Mexico,Rural,medium
P03190,1984-01-12,Male,Australia,Urban,low
P03191,1981-08-21,Male,China,Rural,high
P03192,1988-07-11,Male,France,Urban,low
P03193,1998-07-08,Female,India,Urban,high
P03194,2000-05-11,Female,Australia,Urban,medium
P03195,1983-11-12,Male,Brazil,Urban,low
P03196,2002-02-16,Male,China,Rural,medium
P03197,2001-10-10,Male,Brazil,Urban,medium
P03198,2001-05-21,Female,Mexico,Rural,medium
P03199,1982-03-12,Female,United States,Rural,medium
P03200,1986-09-13,Male,China,Rural,medium
P03201,1988-07-22,Female,South Africa,Urban,high
P03202,1996-08-15,Male,United Kingdom,Rural,low
P03203,1986-07-26,Male,United Kingdom,Rural,medium
P03204,1999-01-07,Male,Australia,Rural,medium
P03205,1989-02-09,Male,United States,Rural,low
P03206,1992-02-03,Female,Germany,Rural,high
P03207,2007-10-15,Male,Brazil,Urban,low
P03208,2002-01-16,Male,Colombia,Urban,medium
P03209,1982-10-23,Male,New Zealand,Urban,high
P03210,1992-09-23,Male,Australia,Urban,high
P03211,1998-01-03,Male,China,Urban,medium
P03212,2006-10-01,Female,New Zealand,Urban,medium
P03213,1983-06-12,Male,Canada,Urban,medium
P03214,2008-05-25,Female,New Zealand,Urban,medium
P03215,2007-03-27,Female,France,Urban,low
P03216,1994-08-29,Male,South Africa,Urban,low
P03217,2005-07-28,Male,United States,Rural,low
P03218,1992-06-27,Female,China,Urban,low
P03219,1984-03-12,Male,France,Rural,high
P03220,2008-10-10,Female,Fiji,Urban,high
P03221,1996-08-31,Male,New Zealand,Urban,medium
P03222,2004-01-14,Female,New Zealand,Urban,low
P03223,1996-07-30,Male,United States,Urban,high
P03224,1995-06-18,Female,United Kingdom,Urban,medium
P03225,1998-12-31,Female,India,Urban,low
P03226,2004-12-12,Male,Argentina,Rural,high
P03227,1984-04-22,Female,South Africa,Urban,medium
P03228,2007-04-06,Male,Egypt,Urban,medium
P03229,1986-06-28,Female,South Africa,Urban,medium
P03230,2007-08-22,Male,Germany,Urban,low
P03231,1983-05-13,Female,China,Urban,medium
P03232,1985-08-29,Female,Japan,Urban,medium
P03233,1996-06-06,Female,Egypt,Urban,medium
P03234,1982-11-15,Male,United Kingdom,Urban,high
P03235,1986-08-16,Male,New Zealand,Rural,high
P03236,1983-01-28,Female,Brazil,Rural,medium
P03237,2008-10-27,Female,Mexico,Rural,low
P03238,1995-03-13,Male,Mexico,Rural,low
P03239,1985-03-04,Female,Nigeria,Rural,high
P03240,1998-05-24,Male,Fiji,Urban,low
P03241,1997-06-25,Female,Japan,Urban,high
P03242,1994-06-08,Male,Brazil,Rural,high
P03243,2008-09-18,Male,Germany,Urban,medium
P03244,1982-08-20,Male,Mexico,Urban,medium
P03245,2001-04-21,Male,France,Rural,low
P03246,1982-10-07,Male,Canada,Urban,low
P03247,1995-07-26,Male,Nigeria,Urban,high
P03248,1997-04-24,Female,United Kingdom,Rural,medium
P03249,1987-03-26,Female,South Africa,Rural,high
P03250,1992-10-24,Male,Nigeria,Rural,medium
P03251,1994-09-17,Male,Canada,Rural,medium
P03252,1992-02-01,Female,China,Urban,low
P03253,1993-09-25,Female,United States,Rural,high
P03254,2008-07-01,Male,Argentina,Urban,low
P03255,1982-01-31,Female,South Africa,Urban,medium
P03256,1999-01-20,Female,Mexico,Rural,medium
P03257,1999-12-08,Male,United States,Urban,medium
P03258,2000-05-08,Female,Egypt,Rural,high
P03259,1988-12-21,Female,United Kingdom,Rural,medium
P03260,1985-05-16,Male,India,Urban,medium
P03261,1984-05-05,Male,Mexico,Urban,medium
P03262,1992-04-01,Female,Japan,Urban,high
P03263,2004-03-17,Female,Germany,Rural,medium
P03264,1986-12-31,Female,Argentina,Urban,medium
P03265,1990-07-04,Female,Mexico,Urban,high
P03266,1994-12-14,Female,Australia,Urban,low
P03267,1997-06-18,Male,India,Urban,low
P03268,2008-04-28,Male,India,Urban,high
P03269,2000-11-11,Male,Brazil,Rural,low
P03270,1995-10-13,Female,Australia,Urban,low
P03271,2007-01-14,Female,Nigeria,Urban,low
P03272,2005-07-13,Female,United States,Rural,low
P03273,1988-02-07,Male,United States,Rural,low
P03274,1989-04-29,Male,South Africa,Rural,high
P03275,1992-05-02,Male,France,Rural,high
P03276,1994-08-31,Male,South Africa,Rural,high
P03277,1987-02-23,Female,Argentina,Urban,medium
P03278,1984-06-02,Female,United States,Urban,medium
P03279,1984-08-23,Female,Fiji,Urban,high
P03280,2001-04-04,Female,Australia,Urban,medium
P03281,2000-12-28,Male,United States,Urban,medium
P03282,1995-02-04,Female,Canada,Rural,medium
P03283,1985-07-25,Male,Japan,Urban,medium
P03284,2002-04-08,Female,United States,Rural,medium
P03285,2002-04-30,Male,Brazil,Urban,high
P03286,1995-02-13,Male,South Africa,Urban,medium
P03287,2007-05-12,Male,United Kingdom,Urban,high
P03288,1998-04-16,Male,Argentina,Urban,low
P03289,1996-09-08,Male,United States,Urban,medium
P03290,1993-07-13,Male,Brazil,Rural,medium
P03291,1988-08-23,Female,Fiji,Rural,low
P03292,2008-10-09,Male,France,Urban,low
P03293,2003-08-17,Male,Egypt,Rural,low
P03294,2002-03-16,Female,Colombia,Urban,low
P03295,1997-09-18,Female,Egypt,Rural,medium
P03296,1985-08-19,Female,United States,Urban,low
P03297,2004-08-26,Male,New Zealand,Urban,high
P03298,1981-02-15,Female,Nigeria,Urban,low
P03299,2001-09-27,Male,South Africa,Rural,low
P03300,2001-04-30,Female,Japan,Urban,low
P03301,1984-04-24,Male,Australia,Urban,high
P03302,1993-10-14,Female,United Kingdom,Rural,medium
